	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000187860	0.77879	1.4737	0.94584	0.61457	0.65337	0.72539	2.1445	2.4117	2.3546	0.2198	0.79517	0.32821	0.68272	0.28313	0.43332	1.618	1.1074	1.3811	2.1571	1.5824	1.2644	1.2951	1.2159	1.4998	0.95258	0.78985	1.2315
ENSG00000187862	0	0	0	0	0	0	0.025513	0	0	0	0.021241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187866	7.8808	6.1367	5.1351	7.183	7.2139	4.5022	2.595	1.8311	2.0703	0.58309	1.7886	1.6639	4.4239	3.4481	3.5074	6.0982	7.1331	8.0128	3.6589	3.0397	3.9536	5.3787	6.3368	5.5805	4.4093	6.1804	6.0708
ENSG00000187867	0.081835	0.28617	0.54548	0.27722	0.16506	0.16062	12.7937	5.5634	12.8447	1.0472	3.2264	2.6399	1.8013	2.5436	1.7668	0.91912	0.12895	0.7755	0.096042	0.13501	0	2.5667	4.5422	5.4261	0.13854	0.07554	0.17024
ENSG00000187871	0	0.028836	0	0	0	0	0	0.041235	0.0855	0.026803	0.066144	0.046111	0	0	0	0.043765	0	0	0	0	0.059441	0	0	0	0	0	0.030261
ENSG00000187889	0	0.016674	0	0	0	0	0.3844	0	0.40635	0	0	0.064525	0.070263	0.062098	0.10413	0	0	0.07213	0	0	0	0.018496	0	0	0	0	0
ENSG00000187902	0	0	0	0.0097152	0.01018	0	0.021216	0	0.03433	0	0	0	0	0	0	0	0	0.025079	0	0	0	0.0092542	0.051312	0.05483	0.012123	0.024465	0.024296
ENSG00000187905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077962	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187908	0.036391	0.034755	0.053166	0	0	0	0.024532	0	0.019814	0	0	0	0	0	0	0.029463	0.021273	0.021126	0.049884	0.044764	0.046622	0.16342	0.056127	0.11734	0.50589	0.43906	0.47746
ENSG00000187912	0.027689	0	0	0	0	0	0.024717	0.038125	0.15658	0.079536	0.0403	0	0.046965	0.12504	0.069049	0.04	0	0.031876	0.025156	0.071624	0.042709	0.029301	0	0.028912	0	0.029549	0
